product,Classic White Tee,Galaxy S24 Ultra,Leather Jacket,MacBook Air M3,Pixel 8 Pro,ROG Zephyrus G14,Running Shoes,Slim Fit Jeans,ThinkPad X1 Carbon,XPS 15,Xiaomi 14,iPhone 15 Pro
Classic White Tee,0.9999999999999998,0.2062520828994506,0.164647922688793,0.28625912586730834,0.23299541164551274,0.2555243629681682,0.1384197877320588,0.12656231492511932,0.2425556818575975,0.23957934785064544,0.22859958772388972,0.29369624139178846
Galaxy S24 Ultra,0.2062520828994506,1.0,0.20039351290104357,0.17907668279135552,0.14119923477631977,0.26955059173859436,0.2047901311620039,0.13874918701886407,0.2663137094020635,0.12196276269187553,0.19157342752918127,0.2037116038639864
Leather Jacket,0.164647922688793,0.20039351290104357,0.9999999999999997,0.20229192643613086,0.1251994509640515,0.1522473714188977,0.21666348895879825,0.21768948903144225,0.25166275488934686,0.15656118166452238,0.2312059093925721,0.32906775218423695
MacBook Air M3,0.28625912586730834,0.17907668279135552,0.20229192643613086,1.0000000000000004,0.22387463738111338,0.25514997761738023,0.30875288974760073,0.21568200923070474,0.12366484206219439,0.297033342750253,0.18374641857741691,0.2448836806681272
Pixel 8 Pro,0.23299541164551274,0.14119923477631977,0.1251994509640515,0.22387463738111338,1.0000000000000002,0.12491558045906792,0.20350941831165742,0.15507171128687056,0.19516875950711565,0.16729018798633033,0.2599909839368959,0.20265696160434016
ROG Zephyrus G14,0.2555243629681682,0.26955059173859436,0.1522473714188977,0.25514997761738023,0.12491558045906792,1.0,0.254714574784749,0.2693902779360907,0.20941125438540392,0.1592800283660254,0.2026660803212733,0.2527576391226808
Running Shoes,0.1384197877320588,0.2047901311620039,0.21666348895879825,0.30875288974760073,0.20350941831165742,0.254714574784749,1.0,0.17379428901955585,0.2066226977964023,0.11580138896327517,0.2893645090322371,0.1636634176769943
Slim Fit Jeans,0.12656231492511932,0.13874918701886407,0.21768948903144225,0.21568200923070474,0.15507171128687056,0.2693902779360907,0.17379428901955585,1.0,0.19193893321036612,0.2344042807261878,0.2636431726905284,0.1932503014547343
ThinkPad X1 Carbon,0.2425556818575975,0.2663137094020635,0.25166275488934686,0.12366484206219439,0.19516875950711565,0.20941125438540392,0.2066226977964023,0.19193893321036612,0.9999999999999999,0.09662905833065602,0.254412902139376,0.22891221280061502
XPS 15,0.23957934785064544,0.12196276269187553,0.15656118166452238,0.297033342750253,0.16729018798633033,0.1592800283660254,0.11580138896327517,0.2344042807261878,0.09662905833065602,0.9999999999999999,0.1397562649440532,0.18140203185638043
Xiaomi 14,0.22859958772388972,0.19157342752918127,0.2312059093925721,0.18374641857741691,0.2599909839368959,0.2026660803212733,0.2893645090322371,0.2636431726905284,0.254412902139376,0.1397562649440532,1.0000000000000004,0.24949783055050104
iPhone 15 Pro,0.29369624139178846,0.2037116038639864,0.32906775218423695,0.2448836806681272,0.20265696160434016,0.2527576391226808,0.1636634176769943,0.1932503014547343,0.22891221280061502,0.18140203185638043,0.24949783055050104,1.0
