user_id,Classic White Tee,Galaxy S24 Ultra,Leather Jacket,MacBook Air M3,Pixel 8 Pro,ROG Zephyrus G14,Running Shoes,Slim Fit Jeans,ThinkPad X1 Carbon,XPS 15,Xiaomi 14,iPhone 15 Pro
1,2,0,0,0,0,3,3,1,0,0,0,0
2,0,0,1,0,0,3,6,0,0,0,0,0
3,2,0,0,2,1,0,0,3,0,1,4,0
4,0,0,0,0,4,1,0,0,0,0,0,2
5,0,0,0,0,0,0,0,2,0,0,1,0
6,1,0,0,3,0,0,0,0,0,0,0,2
7,2,0,3,0,2,0,0,3,2,0,0,0
8,2,0,2,0,1,0,0,0,0,0,2,8
9,0,0,3,0,0,0,2,0,1,0,0,0
10,3,0,0,0,2,0,0,1,0,2,2,0
11,0,2,0,0,0,1,2,0,0,0,0,0
12,0,0,0,0,2,0,0,1,4,2,0,1
13,1,0,3,0,0,0,0,0,2,0,3,3
14,3,0,0,0,3,2,1,0,0,0,2,0
15,0,0,4,0,0,0,2,2,4,0,3,0
16,0,0,0,1,0,0,0,0,0,0,0,1
17,0,0,1,1,0,0,0,2,1,0,0,0
18,3,0,0,0,0,3,1,0,0,0,0,1
19,0,0,0,1,0,3,0,0,0,5,0,0
20,0,0,0,0,4,0,4,0,1,0,0,0
21,0,0,0,2,0,1,0,0,0,0,0,0
22,2,0,1,1,0,0,0,1,0,0,0,0
24,0,0,0,0,2,0,1,0,3,0,0,0
25,2,0,2,3,0,0,0,0,4,0,3,0
26,0,1,1,0,0,0,0,0,0,0,1,0
27,0,0,0,3,0,0,0,3,0,9,0,0
28,3,0,0,0,0,0,0,0,0,0,0,0
29,0,4,0,0,0,0,0,0,0,0,0,0
30,0,2,0,0,0,0,0,0,0,0,2,1
31,3,0,0,1,0,0,2,0,6,0,3,3
32,0,2,0,0,0,4,0,0,3,0,0,0
33,0,0,1,0,0,0,0,0,0,3,0,0
34,0,0,0,3,0,0,1,1,0,0,0,0
35,0,3,0,0,0,2,2,0,0,0,4,0
36,0,0,1,0,0,1,0,0,1,0,1,2
37,0,9,2,0,0,0,0,0,2,0,1,0
38,0,2,0,2,0,3,2,0,0,0,0,0
39,0,0,0,2,0,3,2,4,0,0,0,0
40,3,3,0,3,0,2,0,0,0,0,0,3
41,0,0,0,0,0,0,1,3,0,1,0,0
42,0,0,0,0,0,2,0,1,0,0,0,0
43,0,3,0,0,0,0,2,0,0,0,0,1
44,0,1,0,0,0,2,0,3,0,0,2,0
45,0,2,0,3,0,0,2,0,0,0,0,0
46,3,0,0,0,0,0,3,0,3,0,0,2
47,0,0,0,0,6,0,1,0,1,0,1,0
48,0,1,3,0,0,0,0,0,0,0,3,0
49,1,1,3,4,0,0,3,0,0,0,3,0
50,0,1,0,0,3,0,0,3,0,0,3,0
51,0,0,1,1,0,0,0,1,2,0,0,0
52,3,0,0,0,3,0,0,0,1,0,0,2
53,2,0,0,0,3,0,1,0,0,0,0,0
54,0,1,0,1,0,5,0,1,0,0,0,1
55,0,1,0,0,2,0,0,1,0,0,0,1
56,2,0,0,0,0,0,0,0,3,1,0,0
57,0,0,2,3,2,1,2,0,0,0,0,0
58,0,0,0,0,2,0,4,5,0,2,3,0
59,0,2,0,0,0,3,3,0,0,0,2,0
60,0,0,0,0,2,2,0,3,0,0,0,1
61,0,0,0,0,2,1,0,1,0,0,0,1
62,0,0,2,3,0,1,0,1,0,0,0,2
63,5,0,1,2,0,0,0,0,0,2,0,0
64,0,0,0,0,0,3,0,0,0,0,3,0
65,0,0,0,3,1,0,3,0,0,0,0,0
66,0,0,0,0,2,0,0,0,0,0,0,0
67,2,0,0,0,0,2,0,0,0,2,2,0
68,5,0,0,0,4,0,0,0,0,3,0,0
69,0,0,0,0,0,0,0,5,3,0,0,0
70,0,0,6,0,0,0,1,1,0,0,2,2
71,0,0,0,0,0,1,0,0,0,0,0,4
72,0,3,0,1,0,0,0,0,1,0,0,0
73,0,0,0,0,0,1,0,0,0,0,0,0
74,0,0,0,3,3,1,1,0,0,0,0,0
75,2,0,0,2,0,0,0,3,0,0,1,0
76,3,0,0,0,0,1,0,0,3,0,0,0
77,1,0,2,0,2,0,0,0,0,0,0,0
78,0,1,0,0,0,3,0,1,0,0,0,0
79,4,0,1,0,2,1,0,0,0,0,0,0
80,0,0,0,0,0,2,2,0,3,0,4,0
81,0,0,3,0,3,0,1,0,0,0,2,0
82,0,0,0,1,0,0,0,1,0,0,2,0
83,0,0,0,3,0,4,0,0,0,0,0,0
84,0,2,0,2,0,5,0,0,2,0,0,0
85,0,1,0,0,1,0,0,0,3,0,3,2
86,0,0,0,0,2,0,0,0,6,1,1,0
87,0,0,0,0,0,0,3,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,3,4
89,0,0,0,0,6,1,0,0,0,1,3,0
90,0,0,0,3,0,0,0,5,0,0,0,0
91,0,0,0,0,0,0,0,0,0,3,0,0
92,0,0,0,2,0,0,0,4,0,2,0,0
93,0,0,0,0,0,0,0,0,0,0,3,0
94,0,0,0,0,0,0,0,0,3,0,0,0
95,0,2,0,0,0,0,0,0,0,0,0,0
96,0,0,0,2,2,0,0,0,0,1,2,0
97,0,1,0,2,0,0,0,0,0,4,0,0
98,0,2,0,0,0,0,0,0,0,0,3,0
99,0,0,0,1,0,2,0,3,0,0,0,0
100,0,0,0,0,0,1,3,0,0,0,1,0
101,0,0,0,3,0,0,6,0,0,0,0,2
102,0,0,0,0,0,0,0,0,2,0,4,0
103,0,2,3,0,0,0,3,0,0,1,0,0
104,0,0,0,0,0,5,0,0,6,0,0,0
105,3,3,0,1,0,3,0,0,0,0,0,2
106,3,0,0,0,0,0,0,0,1,0,0,1
107,1,5,0,0,2,0,0,2,2,1,0,0
108,0,0,0,0,0,0,0,1,0,0,3,0
109,3,0,3,0,0,2,0,0,0,2,0,3
110,0,0,0,3,0,0,0,3,0,0,0,0
111,0,3,0,0,3,2,0,2,0,1,0,0
112,0,2,0,0,2,0,0,0,0,3,0,0
113,3,0,0,0,0,3,0,2,0,2,2,0
114,0,0,0,0,0,0,0,1,1,0,0,3
115,0,0,3,0,0,0,0,0,2,3,0,5
116,0,3,0,0,2,0,0,0,0,1,1,0
117,2,2,0,3,1,0,0,0,0,3,0,2
118,0,0,0,0,0,0,0,0,2,0,2,0
119,0,1,1,0,0,0,0,0,0,0,0,0
120,1,0,0,0,0,0,0,0,0,2,2,0
121,0,1,0,1,0,0,0,0,0,1,0,1
122,1,1,0,0,0,0,0,0,0,0,0,0
123,0,3,0,0,0,1,0,0,3,0,1,0
124,0,0,0,6,2,0,0,0,0,0,0,1
125,0,0,0,0,0,0,0,0,0,2,0,0
126,0,0,0,2,0,0,0,0,0,3,0,0
127,0,0,0,0,0,0,1,0,2,0,0,0
128,0,0,2,0,0,0,0,0,0,2,0,0
129,2,1,0,0,0,0,0,0,0,0,0,0
130,0,3,2,3,1,0,0,0,2,0,0,0
131,5,3,0,3,0,0,0,0,3,0,0,0
132,1,0,0,1,0,0,0,2,0,2,1,1
133,1,0,0,0,0,0,0,0,0,0,0,2
134,1,0,1,0,0,2,3,0,0,0,4,0
135,0,0,3,5,0,0,4,0,0,3,0,0
136,0,0,0,5,1,1,3,0,0,0,0,3
137,2,0,1,5,0,5,0,0,0,3,0,0
138,0,3,0,0,0,0,3,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,2,0,0
140,0,0,0,0,0,0,0,0,3,0,0,2
141,2,1,0,2,0,0,0,0,0,3,1,3
142,0,0,0,2,2,0,0,0,0,0,1,0
143,0,1,0,0,0,0,3,5,3,3,0,0
144,3,0,2,3,1,2,0,0,0,0,0,3
145,0,2,3,0,0,3,0,6,2,0,0,4
146,1,0,3,0,0,0,0,3,1,0,1,0
147,0,0,0,0,0,0,0,2,0,0,6,3
148,0,0,1,0,0,3,0,6,0,0,0,1
149,3,2,0,1,0,0,0,0,0,0,3,0
150,0,0,0,5,2,0,0,0,0,0,0,0
151,0,0,0,0,2,0,0,0,1,0,2,0
152,0,0,3,2,0,2,0,0,3,0,2,0
153,2,0,0,0,0,0,0,0,0,3,0,1
154,0,0,4,0,0,0,0,1,0,0,0,0
155,0,0,0,2,2,0,0,0,0,0,3,2
156,0,2,0,1,0,0,0,0,0,0,0,0
157,1,0,0,0,0,1,0,0,1,0,3,0
158,2,0,0,0,0,3,0,3,0,0,2,1
159,0,3,0,0,0,2,0,0,0,0,0,4
160,0,0,0,1,0,0,3,3,0,0,4,0
161,0,0,0,3,2,0,1,0,1,0,0,0
162,0,3,0,0,0,0,0,2,0,0,0,0
163,2,3,2,0,0,0,3,1,3,0,0,0
164,0,0,0,4,0,0,3,0,0,0,3,0
165,0,0,0,1,0,0,0,0,0,3,3,0
166,0,2,0,1,0,0,1,1,0,0,1,2
167,0,0,0,0,0,0,0,2,0,0,1,0
168,0,0,0,3,0,0,3,0,0,3,0,2
169,1,0,0,0,0,0,0,0,0,0,0,0
170,1,3,3,0,0,0,0,0,2,0,0,1
171,0,3,0,0,0,0,0,0,0,0,2,0
172,0,1,0,0,2,0,3,0,4,0,0,3
173,0,0,0,0,0,0,1,0,0,0,0,0
174,2,0,0,0,0,0,0,2,0,3,0,0
175,0,0,0,0,2,0,0,0,0,0,0,0
